date,time,open,max,min,close,value
2010.06.28,00:00,1.23840,1.23970,1.22630,1.22860,1800933
2010.06.29,00:00,1.22860,1.22900,1.21500,1.21830,1774768
2010.06.30,00:00,1.21850,1.23030,1.21650,1.22270,1739839
2010.07.01,00:00,1.22250,1.25390,1.21920,1.25080,2107695
2010.07.02,00:00,1.25100,1.26100,1.24810,1.25620,1772264
2010.07.05,00:00,1.25450,1.25580,1.25020,1.25060,619355
2010.07.06,00:00,1.25050,1.26610,1.24790,1.26230,1038458
2010.07.07,00:00,1.26220,1.26620,1.25520,1.26240,1176636
2010.07.08,00:00,1.26180,1.27110,1.26180,1.26880,1358937
2010.07.09,00:00,1.26910,1.27230,1.26080,1.26400,1441570
2010.07.12,00:00,1.26390,1.26440,1.25480,1.26010,1652955
2010.07.13,00:00,1.26010,1.27370,1.25220,1.27190,1745884
2010.07.14,00:00,1.27170,1.27770,1.26800,1.27330,1581619
2010.07.15,00:00,1.27320,1.29530,1.27070,1.29160,2171798
2010.07.16,00:00,1.29150,1.30060,1.28880,1.29270,1818964
2010.07.19,00:00,1.28870,1.29910,1.28690,1.29390,1516975
2010.07.20,00:00,1.29370,1.30270,1.28380,1.29040,1836748
2010.07.21,00:00,1.29050,1.29120,1.27310,1.27580,1679550
2010.07.22,00:00,1.27600,1.29320,1.27350,1.29110,1771582
2010.07.23,00:00,1.29120,1.29640,1.27910,1.29080,1983347
2010.07.26,00:00,1.29180,1.30060,1.28870,1.29800,1689548
2010.07.27,00:00,1.29780,1.30460,1.29510,1.29870,1538264
2010.07.28,00:00,1.29860,1.30410,1.29650,1.29980,1736547
2010.07.29,00:00,1.29990,1.31060,1.29760,1.30700,1858379
2010.07.30,00:00,1.30650,1.30930,1.29790,1.30490,1635134
2010.08.02,00:00,1.30600,1.31940,1.30530,1.31700,1580151
2010.08.03,00:00,1.31700,1.32610,1.31450,1.32200,1538475
2010.08.04,00:00,1.32190,1.32390,1.31300,1.31540,1878769
2010.08.05,00:00,1.31550,1.32350,1.31180,1.31790,1685383
2010.08.06,00:00,1.31790,1.33330,1.31550,1.32800,1449852
2010.08.09,00:00,1.32810,1.33070,1.32100,1.32140,1466356
2010.08.10,00:00,1.32150,1.32270,1.30720,1.31540,1903576
2010.08.11,00:00,1.31540,1.31610,1.28280,1.28480,2086888
2010.08.12,00:00,1.28470,1.29320,1.27790,1.28410,1957061
2010.08.13,00:00,1.28400,1.29050,1.27470,1.27530,1762501
2010.08.16,00:00,1.27550,1.28710,1.27330,1.28120,2179978
2010.08.17,00:00,1.28130,1.29160,1.28030,1.28690,1641207
2010.08.18,00:00,1.28680,1.29210,1.27910,1.27930,1646541
2010.08.19,00:00,1.27950,1.29020,1.27690,1.28060,1895185
2010.08.20,00:00,1.28050,1.28320,1.26610,1.27090,2117990
2010.08.23,00:00,1.26960,1.27300,1.26220,1.26310,1584329
2010.08.24,00:00,1.26310,1.27170,1.25850,1.26320,1753567
2010.08.25,00:00,1.26320,1.27250,1.26070,1.26700,1952096
2010.08.26,00:00,1.26700,1.27630,1.26490,1.27020,1738091
2010.08.27,00:00,1.27010,1.27780,1.26740,1.27610,1709735
2010.08.30,00:00,1.27500,1.27560,1.26560,1.26620,1789617
2010.08.31,00:00,1.26610,1.27440,1.26230,1.26730,2236957
2010.09.01,00:00,1.26740,1.28540,1.26620,1.27930,2187599
2010.09.02,00:00,1.27940,1.28470,1.27740,1.28140,2149182
2010.09.03,00:00,1.28150,1.28970,1.28070,1.28960,1683883
2010.09.06,00:00,1.28840,1.29190,1.27980,1.28180,1031562
2010.09.07,00:00,1.28200,1.28230,1.26750,1.26910,1599315
2010.09.08,00:00,1.26930,1.27630,1.26580,1.27270,1918677
2010.09.09,00:00,1.27250,1.27660,1.26630,1.26760,1665633
2010.09.10,00:00,1.26780,1.27460,1.26430,1.26760,1582980
2010.09.13,00:00,1.27580,1.28910,1.27570,1.28630,1623131
2010.09.14,00:00,1.28610,1.30320,1.28270,1.29960,2111476
2010.09.15,00:00,1.29960,1.30360,1.29540,1.30080,1971597
2010.09.16,00:00,1.30100,1.31150,1.29750,1.30650,1781523
2010.09.17,00:00,1.30690,1.31580,1.30180,1.30480,1766261
2010.09.20,00:00,1.30430,1.31200,1.30270,1.30600,1954468
2010.09.21,00:00,1.30580,1.32900,1.30580,1.32810,2439211
2010.09.22,00:00,1.32830,1.34390,1.32660,1.33930,2984604
2010.09.23,00:00,1.33930,1.34130,1.32900,1.32930,2500277
2010.09.24,00:00,1.32920,1.34950,1.32850,1.34910,2359727
2010.09.27,00:00,1.34790,1.35060,1.34240,1.34280,2103676
2010.09.28,00:00,1.34270,1.35950,1.33800,1.35720,2795813
2010.09.29,00:00,1.35710,1.36460,1.35650,1.36230,2371430
2010.09.30,00:00,1.36240,1.36830,1.35580,1.36310,2438976
2010.10.01,00:00,1.36290,1.37930,1.36280,1.37890,2063450
2010.10.04,00:00,1.37770,1.37830,1.36430,1.36480,2274414
2010.10.05,00:00,1.36490,1.38590,1.36360,1.38500,2377458
2010.10.06,00:00,1.38460,1.39480,1.37970,1.39150,2745732
2010.10.07,00:00,1.39160,1.40280,1.38540,1.39230,2719136
2010.10.08,00:00,1.39230,1.39830,1.38320,1.39360,2060529
2010.10.11,00:00,1.39930,1.39980,1.38550,1.38660,2173436
2010.10.12,00:00,1.38660,1.39340,1.37740,1.39180,2569716
2010.10.13,00:00,1.39200,1.40010,1.39100,1.39830,2793562
2010.10.14,00:00,1.39840,1.41210,1.39820,1.40230,3116068
2010.10.15,00:00,1.40250,1.41590,1.39360,1.39760,2698042
2010.10.18,00:00,1.39490,1.39980,1.38290,1.39600,2854500
2010.10.19,00:00,1.39600,1.40030,1.36960,1.36980,3105836
2010.10.20,00:00,1.36970,1.39900,1.36970,1.39770,3073233
2010.10.21,00:00,1.39750,1.40490,1.38700,1.39100,3339374
2010.10.22,00:00,1.39120,1.39710,1.38570,1.39530,2439468
2010.10.25,00:00,1.39600,1.40800,1.39070,1.39210,2846116
2010.10.26,00:00,1.39200,1.39820,1.38220,1.38420,2332627
2010.10.27,00:00,1.38430,1.38770,1.37320,1.37910,4106385
2010.10.28,00:00,1.37900,1.39500,1.37760,1.39410,8005511
2010.10.29,00:00,1.39400,1.39470,1.38040,1.39440,2228259
2010.11.01,00:00,1.39700,1.40110,1.38630,1.39070,2025746
2010.11.02,00:00,1.39090,1.40570,1.38800,1.40300,2315283
2010.11.03,00:00,1.40290,1.42090,1.39890,1.41260,2920456
2010.11.04,00:00,1.41250,1.42830,1.41000,1.42330,2558230
2010.11.05,00:00,1.42270,1.42290,1.40220,1.40300,1984519
2010.11.08,00:00,1.40740,1.40840,1.38580,1.38610,4746846
2010.11.09,00:00,1.38600,1.39730,1.37470,1.37670,5569672
2010.11.10,00:00,1.37690,1.38250,1.36690,1.37730,4759684
2010.11.11,00:00,1.37730,1.38200,1.36060,1.36180,4118463
2010.11.12,00:00,1.36210,1.37760,1.35720,1.36940,4046284
2010.11.15,00:00,1.36890,1.37500,1.35620,1.35730,3155926
2010.11.16,00:00,1.35710,1.36550,1.34450,1.34940,3554992
2010.11.17,00:00,1.34920,1.35640,1.34580,1.35520,3045814
2010.11.18,00:00,1.35510,1.36670,1.35400,1.36550,3066553
2010.11.19,00:00,1.36570,1.37310,1.36060,1.36860,2658031
2010.11.22,00:00,1.37420,1.37870,1.35730,1.35950,4578350
2010.11.23,00:00,1.35940,1.36140,1.33580,1.33840,4372483
2010.11.24,00:00,1.33860,1.34220,1.32790,1.33560,4969620
2010.11.25,00:00,1.33550,1.33870,1.32830,1.33390,2934936
2010.11.26,00:00,1.33370,1.33490,1.31990,1.32470,4141232
2010.11.29,00:00,1.32370,1.33020,1.30620,1.30980,5230976
2010.11.30,00:00,1.31000,1.31490,1.29670,1.29920,5418286
2010.12.01,00:00,1.29930,1.31820,1.29700,1.31240,4834279
2010.12.02,00:00,1.31220,1.32480,1.30570,1.32090,3391448
2010.12.03,00:00,1.32110,1.34210,1.31910,1.34110,2642445
2010.12.06,00:00,1.34100,1.34200,1.32440,1.32910,3487182
2010.12.07,00:00,1.32860,1.34000,1.32350,1.32450,3227297
2010.12.08,00:00,1.32470,1.32800,1.31770,1.32470,3488467
2010.12.09,00:00,1.32480,1.33220,1.31630,1.32400,3497816
2010.12.10,00:00,1.32380,1.32830,1.31770,1.32300,2870579
2010.12.13,00:00,1.31950,1.34350,1.31780,1.33920,3124809
2010.12.14,00:00,1.33910,1.34980,1.33520,1.33550,3305310
2010.12.15,00:00,1.33570,1.33780,1.32060,1.32240,3765833
2010.12.16,00:00,1.32230,1.32640,1.31790,1.32380,2971937
2010.12.17,00:00,1.32390,1.33590,1.31320,1.31860,3616229
2010.12.20,00:00,1.31600,1.31830,1.30930,1.31160,2901876
2010.12.21,00:00,1.31160,1.32000,1.30710,1.30890,3413500
2010.12.22,00:00,1.30910,1.31800,1.30760,1.31130,3236200
2010.12.23,00:00,1.31120,1.31510,1.30540,1.31210,2701119
2010.12.24,00:00,1.31200,1.31480,1.30920,1.31150,772306
2010.12.27,00:00,1.30770,1.31900,1.30770,1.31870,1898222
2010.12.28,00:00,1.31850,1.32750,1.30820,1.30840,2407263
2010.12.29,00:00,1.30830,1.32390,1.30830,1.32210,2512465
2010.12.30,00:00,1.32220,1.33140,1.32180,1.33000,2269504
2010.12.31,00:00,1.33020,1.34230,1.32870,1.33620,1464381
2011.01.03,00:00,1.33560,1.33950,1.32490,1.33560,2406929
2011.01.04,00:00,1.33540,1.34320,1.32900,1.33180,3437192
2011.01.05,00:00,1.33190,1.33240,1.31230,1.31550,3814182
2011.01.06,00:00,1.31530,1.31700,1.29670,1.29780,3709088
2011.01.07,00:00,1.29790,1.30210,1.29030,1.29110,3545843
2011.01.10,00:00,1.28920,1.29660,1.28720,1.29630,3549445
2011.01.11,00:00,1.29620,1.29920,1.29030,1.29810,3580091
2011.01.12,00:00,1.29810,1.31450,1.29590,1.31260,3842395
2011.01.13,00:00,1.31270,1.33840,1.30870,1.33510,3727465
2011.01.14,00:00,1.33490,1.34560,1.33140,1.33730,3096768
2011.01.17,00:00,1.33790,1.33790,1.32430,1.32810,2882492
2011.01.18,00:00,1.32790,1.34650,1.32510,1.33760,3709954
2011.01.19,00:00,1.33770,1.35370,1.33740,1.34510,4112784
2011.01.20,00:00,1.34490,1.35220,1.33930,1.34640,3954883
2011.01.21,00:00,1.34660,1.36230,1.34470,1.36160,3670188
2011.01.24,00:00,1.36160,1.36860,1.35380,1.36420,5358298
2011.01.25,00:00,1.36430,1.37030,1.35710,1.36840,4650353
2011.01.26,00:00,1.36850,1.37210,1.36390,1.37100,4675987
2011.01.27,00:00,1.37110,1.37590,1.36360,1.37230,4859669
2011.01.28,00:00,1.37200,1.37450,1.35800,1.36070,4687772
2011.01.31,00:00,1.35720,1.37390,1.35670,1.37120,4981178
2011.02.01,00:00,1.37130,1.38430,1.36980,1.38260,5601859
2011.02.02,00:00,1.38250,1.38610,1.37660,1.38150,4992530
2011.02.03,00:00,1.38140,1.38240,1.36080,1.36230,5402027
2011.02.04,00:00,1.36240,1.36760,1.35420,1.35860,3164915
2011.02.07,00:00,1.35720,1.36260,1.35060,1.35890,4278733
2011.02.08,00:00,1.35930,1.36880,1.35710,1.36220,4323074
2011.02.09,00:00,1.36210,1.37450,1.36080,1.37170,4531199
2011.02.10,00:00,1.37180,1.37290,1.35740,1.36020,4492204
2011.02.11,00:00,1.36030,1.36200,1.34940,1.35430,3327750
2011.02.14,00:00,1.35100,1.35580,1.34260,1.34790,4167894
2011.02.15,00:00,1.34790,1.35500,1.34580,1.34990,4788606
2011.02.16,00:00,1.34970,1.35870,1.34590,1.35730,3967590
2011.02.17,00:00,1.35720,1.36270,1.35350,1.36210,3836399
2011.02.18,00:00,1.36210,1.37150,1.35440,1.36850,4131004
2011.02.21,00:00,1.37100,1.37110,1.36450,1.36800,2975624
2011.02.22,00:00,1.36810,1.37030,1.35240,1.36720,4694617
2011.02.23,00:00,1.36710,1.37860,1.36680,1.37590,3956780
2011.02.24,00:00,1.37580,1.38230,1.37020,1.38190,4125212
2011.02.25,00:00,1.38200,1.38380,1.37220,1.37520,3061694
2011.02.28,00:00,1.37330,1.38540,1.37100,1.38200,3810629
2011.03.01,00:00,1.38210,1.38530,1.37600,1.37660,4009909
2011.03.02,00:00,1.37650,1.38900,1.37420,1.38670,3751328
2011.03.03,00:00,1.38650,1.39740,1.38310,1.39560,4115400
2011.03.04,00:00,1.39560,1.40060,1.39390,1.39820,2727619
2011.03.07,00:00,1.39903,1.40357,1.39555,1.39620,111850
2011.03.08,00:00,1.39622,1.39883,1.38620,1.38953,104189
2011.03.09,00:00,1.38958,1.39407,1.38545,1.39035,161012
2011.03.10,00:00,1.39034,1.39241,1.37754,1.38008,128287
2011.03.11,00:00,1.38007,1.39038,1.37522,1.39019,109617
2011.03.14,00:00,1.39343,1.40028,1.39033,1.39904,91847
2011.03.15,00:00,1.39903,1.40130,1.38553,1.39856,130693
2011.03.16,00:00,1.39856,1.40011,1.38664,1.38837,130240
2011.03.17,00:00,1.38842,1.40524,1.38761,1.40298,125454
2011.03.18,00:00,1.40301,1.41835,1.39794,1.41815,90431
2011.03.21,00:00,1.41670,1.42399,1.41387,1.42159,52794
2011.03.22,00:00,1.42160,1.42480,1.41622,1.41672,44774
2011.03.23,00:00,1.41676,1.42146,1.40773,1.41039,65818
2011.03.24,00:00,1.41045,1.42200,1.40535,1.41693,96118
2011.03.25,00:00,1.41694,1.41934,1.40553,1.40879,124037
2011.03.28,00:00,1.40337,1.41151,1.40264,1.40732,94247
2011.03.29,00:00,1.40728,1.41484,1.40469,1.41206,109237
2011.03.30,00:00,1.41209,1.41465,1.40520,1.41270,124006
2011.03.31,00:00,1.41266,1.42324,1.41158,1.41563,64098
2011.04.01,00:00,1.41564,1.42451,1.40617,1.42342,61347
2011.04.04,00:00,1.42342,1.42680,1.41924,1.42050,50028
2011.04.05,00:00,1.42045,1.42443,1.41514,1.42317,55844
2011.04.06,00:00,1.42315,1.43500,1.42279,1.43249,61446
2011.04.07,00:00,1.43249,1.43256,1.42424,1.42955,59609
2011.04.08,00:00,1.42956,1.44872,1.42892,1.44833,59152
2011.04.11,00:00,1.44800,1.44827,1.44207,1.44233,50193
2011.04.12,00:00,1.44237,1.45198,1.43773,1.44825,72784
2011.04.13,00:00,1.44827,1.45199,1.44131,1.44506,51290
2011.04.14,00:00,1.44502,1.45140,1.43650,1.45018,67355
2011.04.15,00:00,1.45009,1.45012,1.43907,1.44292,54321
2011.04.18,00:00,1.43986,1.44050,1.41568,1.42370,69993
2011.04.19,00:00,1.42373,1.43729,1.42053,1.43653,66771
2011.04.20,00:00,1.43651,1.45469,1.43548,1.45187,62321
2011.04.21,00:00,1.45182,1.46484,1.45152,1.45590,51555
2011.04.22,00:00,1.45589,1.45878,1.45346,1.45615,14838
2011.04.25,00:00,1.45931,1.46269,1.45254,1.45510,51668
2011.04.26,00:00,1.45494,1.47133,1.44936,1.47049,94260
2011.04.27,00:00,1.47051,1.47958,1.46328,1.47883,80468
2011.04.28,00:00,1.47884,1.48812,1.47730,1.48409,69120
2011.04.29,00:00,1.48413,1.48776,1.48042,1.48072,44768
2011.05.02,00:00,1.48119,1.49017,1.47633,1.47942,80371
2011.05.03,00:00,1.47941,1.48906,1.47545,1.48372,103215
